"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FT_MIN_MHZ";"IC_CONTINUOUS_A";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MF";"MOUNTING_TECHNOLOGY";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"POLARITY";"PREFIX";"PRICE";"PROD_ID";"RELEASE_DATE";"ROHS";"SPICEPREFIX";"SUPPLIER";"VALUE";"VAULT_GUID";"VAULT_REVISION";
"3V3_REGULATOR";"3v3 LDO";"NCP718BSN330T1G";"NCP718BSN330T1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV1";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV2";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV3";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV4";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV5";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV6";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV7";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV8";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV9";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ACTIVITY_LED_DEV10";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BUT_PROG";"0ohms";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BUT_RESET";"0ohms";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C2";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C3";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C6";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C7";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";
"C8";"22uF";"22UF-POLAR-PANASONIC_C-35V-20%";"PANASONIC_C";"22µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08618";"";"";"";"";"22uF";"";"";
"C11";"22uF";"22UF-POLAR-PANASONIC_C-35V-20%";"PANASONIC_C";"22µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08618";"";"";"";"";"22uF";"";"";
"IC1";"74HC595D";"74HC595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"10118193-0001LF";"10118193-0001LF";"FCI_10118193-0001LF";"Micro USB B Type Receptacle";"Unavailable";"";"";"";"";"";"";"";" Single Port 5 Contact Shielded SMT MICRO USB B-Type Receptacle ";"";"";"";"";"";"";"Amphenol FCI";"";"10118193-0001LF";"";"";"";"None";"";"";"";"";"";"None";"";"";"";"";"";"";"";"";
"MDL1";"MCU";"ESP8266-12GPIO04/05_CORRECTED";"ESP8266-ESP12";"Espressif ESP8266 ESP-12 Module with GPIO04 and GPIO05 corrected.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN1";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN2";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN3";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN4";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN5";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN6";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN7";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN8";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PROG_IN9";"5v";"MA03-2";"MA03-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR_LED";"20mA";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"12mhz";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0";"ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0";"ON_SEMICONDUCTOR_BC849BLT1G_0";"ONSC-NPN-B1E2C3-3";"";"19369299";"Manufacturer URL";"http://www.onsemi.com/";"Package Specification";"http://www.onsemi.cn/pub_link/Collateral/318-08.PDF";"http://www.onsemi.cn/pub_link/Collateral/BC846ALT1-D.PDF";"Rev. 11";"";"Manufacturer Recommended";"100";"0.1";"yes";"vault";"1521843736";"On Semiconductor";"Surface Mount";"";"BC849BLT1G";"";"";"SOT-23-3-318-08";"3-Pin Small Outline Transistor, Body 2.92 x 1.3 mm, Pitch 0.95 mm";"Rev. AP, 11/2009";"Tape and Reel";"NPN";"Q";"";"";"1406898388";"Yes";"";"";"";"19D3C7D6-08FD-4A81-9BD4-62C7617130FB";"B4675A61-FAF7-4072-9C56-0A9635A35669";
"Q3";"ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0";"ON_SEMICONDUCTOR_BC849BLT1GON_SEMICONDUCTOR_BC849BLT1G_0_0";"ON_SEMICONDUCTOR_BC849BLT1G_0";"ONSC-NPN-B1E2C3-3";"";"19369299";"Manufacturer URL";"http://www.onsemi.com/";"Package Specification";"http://www.onsemi.cn/pub_link/Collateral/318-08.PDF";"http://www.onsemi.cn/pub_link/Collateral/BC846ALT1-D.PDF";"Rev. 11";"";"Manufacturer Recommended";"100";"0.1";"yes";"vault";"1521843736";"On Semiconductor";"Surface Mount";"";"BC849BLT1G";"";"";"SOT-23-3-318-08";"3-Pin Small Outline Transistor, Body 2.92 x 1.3 mm, Pitch 0.95 mm";"Rev. AP, 11/2009";"Tape and Reel";"NPN";"Q";"";"";"1406898388";"Yes";"";"";"";"19D3C7D6-08FD-4A81-9BD4-62C7617130FB";"B4675A61-FAF7-4072-9C56-0A9635A35669";
"R1";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R2";"100k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R3";"470ohms";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R4";"220ohms";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R5";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R6";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R8";"100R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R9";"100R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R10";"100k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R12";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R13";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R14";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R15";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R16";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R17";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R18";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R19";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R20";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R21";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R22";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R23";"100R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R24";"200R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R25";"100R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R26";"200R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R27";"100R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R28";"200R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"R29";"0R";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";"";
"SW1";"OS102011MA1Q";"OS102011MA1Q";"OS102011MA1Q";"OS10201MA1Q through-hole right angle switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"CH340G";"CH340G";"SOIC16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U2";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U3";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U4";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U5";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U6";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U7";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
"U8";"CD4066BM";"CD4066BM";"SOIC127P600X175-14N";"CMOS QUAD BILATERAL SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CD4066BM";"-";"67K2793";"SOIC-14";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"";
